trainable params: 10,092,544 || all params: 606,142,464 || trainable%: 1.6650
{'loss': '0', 'grad_norm': '0', 'learning_rate': '1.827e-06', 'num_tokens': '3.268e+05', 'completions/mean_length': '11.97', 'completions/min_length': '11.9', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.97', 'completions/min_terminated_length': '11.9', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3143', 'rewards/_reward/std': '0.05853', 'reward': '-0.3143', 'reward_std': '0.05853', 'frac_reward_zero_std': '1', 'entropy': '0.002863', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.012', 'epoch': '0.6'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '1.452e-06', 'num_tokens': '3.54e+05', 'completions/mean_length': '11.96', 'completions/min_length': '11.9', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.96', 'completions/min_terminated_length': '11.9', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3195', 'rewards/_reward/std': '0.04811', 'reward': '-0.3195', 'reward_std': '0.04811', 'frac_reward_zero_std': '1', 'entropy': '0.005384', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.017', 'epoch': '0.65'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '1.103e-06', 'num_tokens': '3.812e+05', 'completions/mean_length': '11.93', 'completions/min_length': '11.8', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.93', 'completions/min_terminated_length': '11.8', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3143', 'rewards/_reward/std': '0.05853', 'reward': '-0.3143', 'reward_std': '0.05853', 'frac_reward_zero_std': '1', 'entropy': '0.004582', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.014', 'epoch': '0.7'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '7.898e-07', 'num_tokens': '4.082e+05', 'completions/mean_length': '11.84', 'completions/min_length': '11.5', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.84', 'completions/min_terminated_length': '11.5', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3098', 'rewards/_reward/std': '0.05853', 'reward': '-0.3098', 'reward_std': '0.05853', 'frac_reward_zero_std': '1', 'entropy': '0.01338', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.005', 'epoch': '0.75'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '5.207e-07', 'num_tokens': '4.354e+05', 'completions/mean_length': '11.95', 'completions/min_length': '11.9', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.95', 'completions/min_terminated_length': '11.9', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3023', 'rewards/_reward/std': '0.03448', 'reward': '-0.3023', 'reward_std': '0.03448', 'frac_reward_zero_std': '1', 'entropy': '0.002813', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.042', 'epoch': '0.8'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '3.023e-07', 'num_tokens': '4.627e+05', 'completions/mean_length': '11.94', 'completions/min_length': '11.7', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.94', 'completions/min_terminated_length': '11.7', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3368', 'rewards/_reward/std': '0.05532', 'reward': '-0.3368', 'reward_std': '0.05532', 'frac_reward_zero_std': '1', 'entropy': '0.007672', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.005', 'epoch': '0.85'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '1.403e-07', 'num_tokens': '4.899e+05', 'completions/mean_length': '11.86', 'completions/min_length': '11.7', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.86', 'completions/min_terminated_length': '11.7', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3075', 'rewards/_reward/std': '0.02405', 'reward': '-0.3075', 'reward_std': '0.02405', 'frac_reward_zero_std': '1', 'entropy': '0.007122', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.022', 'epoch': '0.9'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '3.876e-08', 'num_tokens': '5.171e+05', 'completions/mean_length': '11.97', 'completions/min_length': '11.9', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '11.97', 'completions/min_terminated_length': '11.9', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.3315', 'rewards/_reward/std': '0.04971', 'reward': '-0.3315', 'reward_std': '0.04971', 'frac_reward_zero_std': '1', 'entropy': '0.005645', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.021', 'epoch': '0.95'}
{'loss': '0', 'grad_norm': '0', 'learning_rate': '3.211e-10', 'num_tokens': '5.445e+05', 'completions/mean_length': '12', 'completions/min_length': '12', 'completions/max_length': '12', 'completions/clipped_ratio': '0', 'completions/mean_terminated_length': '12', 'completions/min_terminated_length': '12', 'completions/max_terminated_length': '12', 'rewards/_reward/mean': '-0.342', 'rewards/_reward/std': '0.0449', 'reward': '-0.342', 'reward_std': '0.0449', 'frac_reward_zero_std': '1', 'entropy': '0.002979', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '3.035', 'epoch': '1'}
{'train_runtime': '661.7', 'train_samples_per_second': '2.418', 'train_steps_per_second': '0.302', 'train_loss': '-0.001496', 'epoch': '1'}
